县区关联的乐种名,县区名,县区坐标（经纬度）,离荆门市的距离（km）
鄂北打调,宜城市,"""POINT(112.25776 31.71976)""","""74.409"""
鄂北打调-粗乐,宜城市,"""POINT(112.25776 31.71976)""","""74.409"""
鄂北打调-细乐,宜城市,"""POINT(112.25776 31.71976)""","""74.409"""
鄂北花鼓戏,远安县,"""POINT(111.64132 31.06129)""","""53.3627"""
江汉丝弦,当阳市,"""POINT(111.78833 30.82108)""","""47.0211"""
沮水巫音,远安县,"""POINT(111.64132 31.06129)""","""53.3627"""
梁山调,钟祥市,"""POINT(112.58817 31.16797)""","""38.9657"""
宜昌细乐,当阳市,"""POINT(111.78833 30.82108)""","""47.0211"""
远安花鼓戏,远安县,"""POINT(111.64132 31.06129)""","""53.3627"""
(blank),东宝区,"""POINT(112.20173 31.05192)""","""0.0"""
,掇刀区,"""POINT(112.20772 30.97307)""","""8.78137"""
,沙洋县,"""POINT(112.58854 30.70918)""","""53.0276"""
